,Country,Obesity,Overweight,Mortality per 100.000,Alcohol Consumed,latitude,longitude,geometry
0,Afghanistan,3.67843137254902,18.3,977.770588235294,0.019607843137255,33.7680065,66.2385139,افغانستان
1,Albania,17.1921568627451,51.8196078431373,544.727450980392,7.1921568627451,41.000028,19.9999619,Shqipëria
2,Algeria,22.1647058823529,55.7745098039216,519.735294117647,0.43921568627451,28.0000272,2.9999825,Algérie / ⵍⵣⵣⴰⵢⴻⵔ / الجزائر
3,Angola,5.61176470588235,22.2235294117647,712.61568627451,6.73921568627451,-11.8775768,17.5691241,Angola
4,Antigua and Barbuda,15.4882352941176,43.5235294117647,514.888235294118,6.39803921568628,17.2234721,-61.9554608,Antigua and Barbuda
5,Argentina,24.3294117647059,58.6313725490196,509.08431372549,9.22549019607843,-34.9964963,-64.9672817,Argentina
6,Armenia,16.7686274509804,50.2647058823529,665.860784313726,4.80588235294118,40.7696272,44.6736646,Հայաստան
7,Australia,24.5627450980392,60.6254901960784,336.329411764706,11.8549019607843,-24.7761086,134.755,Australia
8,Austria,16.9137254901961,50.9862745098039,397.476470588235,12.721568627451,47.2,13.2,Österreich
9,Azerbaijan,15.721568627451,48.3411764705882,901.750980392157,0.713725490196078,40.3936294,47.7872508,Azərbaycan
10,Bahamas,27.378431372549,59.9647058823529,542.723529411765,4.80588235294118,24.7736546,-78.0000547,The Bahamas
11,Bahrain,26.9901960784314,61.9078431372549,770.150980392157,1.49019607843137,26.1551249,50.5344606,البحرين
12,Bangladesh,2.31176470588235,15.556862745098,549.054901960784,0,23.5031022,90.0038652382505,বাংলাদেশ
13,Barbados,18.8509803921569,47.1745098039216,480.123529411765,8.48235294117647,13.1500331,-59.5250305,Barbados
14,Belarus,21.3627450980392,55.8313725490196,823.674509803922,13.843137254902,53.4250605,27.6971358,Беларусь
15,Belgium,19.4549019607843,57.0941176470588,391.858823529412,12.4176470588235,50.6402809,4.6667145,België / Belgique / Belgien
16,Belize,20.0647058823529,49.9627450980392,486.26862745098,7.01960784313726,16.8259793,-88.7600927,Belize
17,Benin,6.99803921568627,24.8274509803922,693.778431372549,2.37254901960784,9.5293472,2.2584408,Bénin
18,Bhutan,4.33725490196078,21.4803921568627,578.63137254902,1.25098039215686,27.549511,90.5119273,Bhutan
19,Bolivia (Plurinational State of),16.4529411764706,50.9862745098039,594.237254901961,4.38039215686275,-17.0568696,-64.9912286,Bolivia
20,Bosnia and Herzegovina,14.9725490196078,49.3156862745098,599.782352941177,7.25490196078431,44.3053476,17.5961467,Bosna i Hercegovina / Босна и Херцеговина
21,Botswana,15.843137254902,38.8176470588235,908.690196078431,6.99607843137255,-23.1681782,24.5928742,Botswana
22,Brazil,18.1509803921569,51.3509803921569,513.498039215686,8.48039215686275,-10.3333333,-53.2,Brasil
23,Brunei Darussalam,10.3980392156863,34.7078431372549,654.578431372549,0.356862745098039,4.4137155,114.5653908,Brunei
24,Bulgaria,21.5862745098039,57.8529411764706,716.056862745098,11.7803921568627,42.6073975,25.4856617,Бългaрия
25,Burkina Faso,3.51960784313725,18.1627450980392,700.91568627451,8.86666666666667,12.0753083,-1.6880314,Burkina Faso
26,Burundi,3.67254901960784,18.1960784313725,776.117647058824,8.16666666666667,-3.3634357,29.8870575,Burundi
27,Cabo Verde,8.72156862745098,29.3196078431373,455.36862745098,6.71764705882353,16.0000552,-24.0083947,Cabo Verde
28,Cambodia,2.47450980392157,17.1411764705882,715.772549019608,4.08627450980392,13.5066394,104.869423,ព្រះរាជាណាចក្រ​កម្ពុជា
29,Cameroon,8.37647058823529,28.4352941176471,758.956862745098,7.61960784313726,4.6125522,13.1535811,Cameroun
30,Canada,24.9117647058824,60.1,354.674509803922,9.68039215686274,61.0666922,-107.991707,Canada
31,Central African Republic,5.40980392156863,21.9686274509804,1013.54117647059,3.68235294117647,7.0323598,19.9981227,Ködörösêse tî Bêafrîka - République Centrafricaine
32,Chad,4.30392156862745,19.2941176470588,672.68431372549,3.66274509803922,15.6134137,19.0156172,Tchad تشاد
33,Chile,24.1588235294118,58.8352941176471,411.156862745098,8.97254901960784,-31.7613365,-71.3187697,Chile
34,China,4.04509803921569,26.3333333333333,616.405882352941,5.50196078431373,35.000074,104.999927,中国
35,Colombia,18.5607843137255,54.3098039215686,377.966666666667,5.66274509803922,4.099917,-72.9088133,Colombia
36,Comoros,5.74509803921569,23.2137254901961,622.774509803922,0.4,-12.2045176,44.2832964,Comores Komori جزر القمر
37,Congo,7.15882352941176,26.2588235294118,785.470588235294,5.53725490196078,-0.7264327,15.6419155,Congo
38,Costa Rica,20.1156862745098,54.8254901960784,353.423529411765,4.99019607843137,10.2735633,-84.0739102,Costa Rica
39,Croatia,20.6823529411765,55.4274509803922,565.774509803922,10.2607843137255,45.5643442,17.0118954,Hrvatska
